"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PIN1",508.495690297376,-0.324088362968298,0.11706999973677,-2.76832974884262,0.00563444154478657,0.0109875783783742
"MID2",704.515075453344,0.686758551743122,0.0982452191976987,6.99024906607576,2.74398669716497e-12,4.10444282895255e-11
"FNTA",1776.19130055329,-0.323525565534437,0.135605151614141,-2.38579111253101,0.0170424280961288,0.0296771373236333
"DCPS",324.891679279721,-0.841620407119074,0.0994973247977062,-8.45872397906397,2.70319021934866e-17,1.16281349206818e-15
"RPGRIP1L",260.079724908324,0.553469149729492,0.110642669565753,5.00231196428767,5.66468246226552e-07,2.70650509077318e-06
"SMOX",194.287194646999,-1.37770816965583,0.202544782254035,-6.80199289423254,1.03181689398953e-11,1.36485107417319e-10
"FAP",1383.43605785407,0.488037854023482,0.196825507919457,2.47954576204215,0.0131549848353442,0.0235078828927011
"FRG1B",249.0983054895,0.655096332075784,0.142013660123976,4.61291069819547,3.97068929341419e-06,1.58622710680458e-05
"NPAS2",326.485050949713,-0.539662062894556,0.228335222118027,-2.36346393643818,0.0181049886920399,0.0313161584958373
"FAU",5000.16591987394,-0.800864958043869,0.100603850296553,-7.96057959693523,1.71235257492937e-15,5.0541602623673e-14
"FAH",1261.56203639169,0.385185260682992,0.156210008321527,2.46581678614449,0.0136701236340865,0.0243260561572909
"LLPH",699.260065591578,-0.267583230330631,0.0810629688274557,-3.3009305506709,0.000963647327159322,0.00225903646792487
"HNRNPA2B1",15273.6036367903,-0.256083130623631,0.0550480537401024,-4.65199245431406,3.28743111560652e-06,1.34255772445793e-05
"LHX6",119.157209296024,-0.660807236829228,0.206816349727193,-3.19514021836709,0.0013976291969856,0.00315611479154597
"PDXDC1",5759.0984834155,0.424394810125369,0.104168406483998,4.07412213021192,4.6188239813697e-05,0.000147033039047811
"DCP2",1156.86521091664,0.309884996308152,0.0856860583273177,3.61651594620448,0.00029859493119847,0.000784450452244718
"MON1A",178.559815923357,-0.396457470132511,0.0923393045172913,-4.29348555531162,1.75889762859755e-05,6.12334553960052e-05
"PIP5K1C",1350.2300576119,-0.183648440758628,0.0772299315958452,-2.37794384850275,0.0174094767860392,0.030240293340543
"AP4E1",444.885378136933,0.589019823521067,0.112448352524142,5.23813653378878,1.62206048293492e-07,8.70411012510081e-07
"NOP58",1632.14259414354,-0.530848477499659,0.0788724847027839,-6.7304647431872,1.69122026775467e-11,2.14561769728393e-10
"NCAPH2",698.086863878372,-0.662128431959022,0.108944228453817,-6.07768251109979,1.21931865914672e-09,1.03815598385176e-08
"C6orf108",368.175753828381,-1.04915337883789,0.152307281223375,-6.88839936220251,5.64236277848749e-12,7.84270551776461e-11
"PURA",337.710283980818,0.526385988001873,0.0893521421927301,5.89114010122413,3.83540205015884e-09,2.94891338704677e-08
"TSPAN1",2398.33777667652,0.890836585316297,0.32236779926833,2.76341677840717,0.0057199676706351,0.0111296281520428
"CFDP1",827.383923718654,-0.451623131526245,0.109365646212877,-4.12947892839377,3.63586321976866e-05,0.000118491873141409
"C14orf142",266.984495765472,-0.235903138822852,0.10706334414782,-2.20339781743736,0.0275667218989511,0.0457752946077827
"C14orf145",136.381767942787,-0.592829116249609,0.145677252612273,-4.06946936202492,4.71203353447906e-05,0.000149745285886885
"ZMYM5",309.845749869745,0.322679219108783,0.107715514351244,2.99566149827383,0.00273850245138376,0.00579532279221293
"HECTD2",381.752622623274,1.02851781175265,0.147823864549568,6.95772509321575,3.45811162546612e-12,5.06465938457612e-11
"HECTD3",1189.60160151969,-0.405303102180105,0.0743125881146293,-5.45403023179482,4.92408248056574e-08,2.95406851706026e-07
"HECTD1",3859.66872084262,0.379033941348285,0.0876417702096937,4.32480928262174,1.52663880782338e-05,5.37663320875484e-05
"MAN2B2",1753.43646375978,0.609618009458734,0.095929927310948,6.35482613765268,2.08662490614027e-10,2.10308144253632e-09
"MAN2B1",2176.45811375422,-0.65929384294588,0.104549055581566,-6.30607172181982,2.86206448778808e-10,2.79061887798181e-09
"TSPAN5",173.205102053112,1.20072678524363,0.257685752457697,4.65965531191233,3.16739330919221e-06,1.29640541445575e-05
"PPP1R12B",1004.60049683828,0.29449043063132,0.128238699117475,2.29642403313486,0.0216516481305455,0.0367837692749575
"CCS",480.91353314123,-0.759311842809826,0.157093349464904,-4.83350724519032,1.34148394429712e-06,5.89581073749013e-06
"LZTFL1",736.415112311506,0.727786253056537,0.112995420150884,6.44084735544783,1.18808315625866e-10,1.27455082199126e-09
"CCDC28B",96.8936702189679,-1.04482612515639,0.181992772178227,-5.74103088079331,9.41019271380671e-09,6.70635445001829e-08
"NXN",619.356253358882,-1.02871687750174,0.177454943593024,-5.79705956155835,6.74877276466074e-09,4.94621914817535e-08
"FSTL4",88.9239511154029,1.30120143444683,0.289698851364793,4.49156573564849,7.07014715366293e-06,2.68894385968405e-05
"PDE7B",65.287063376038,0.485910534155393,0.178363261373475,2.72427477729253,0.00644428666325632,0.0123761519329505
"TDP2",1021.91608219271,0.211963633010705,0.0828905185961348,2.55715172978287,0.0105533174490158,0.0193203501504026
"PIP",4331.30798811987,2.81814129315699,0.537138347792889,5.24658368693426,1.54945483262116e-07,8.34170714183735e-07
"PIR",284.82363214398,-0.924568399034469,0.184763143039794,-5.00407377696177,5.61312581430277e-07,2.68674818522427e-06
"LRRC37A",388.003140406283,0.279639979909904,0.123697273747474,2.2606802190385,0.0237790662515449,0.0399951203406258
"KCTD13",351.249759104014,-0.386286304501806,0.121937721917936,-3.16789832076554,0.00153545211785578,0.00343309977805703
"KCTD12",2044.62270175607,0.348144951537796,0.146771028239806,2.37202774766264,0.0176907621019501,0.0306681814234123
"COG3",803.015633458522,0.564815416429393,0.0986007981895839,5.72830470746695,1.01439241401536e-08,7.17102435321386e-08
