"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SCNM1",460.32233991559,-0.72990326531187,0.0693312770354209,-10.5277631759035,6.43453076637291e-26,3.88521690264984e-25
"PFN1",8359.48165735586,-0.693812655441154,0.0659080563606397,-10.5269779409775,6.48841759667551e-26,3.91595785534341e-25
"STXBP1",947.102272565532,1.17627689761509,0.111744021626455,10.5265309096107,6.51929473651812e-26,3.93278994577397e-25
"CBX8",122.170537825643,-1.1415641798529,0.108463178470362,-10.5249006709206,6.63313692912537e-26,3.99963267971036e-25
"MAPK15",95.1588389625709,-2.42732191232637,0.230666675644302,-10.5230714646853,6.76322050180112e-26,4.07620290591613e-25
"MSI2",399.818648813754,-1.17477275009631,0.111645833293907,-10.5223161083291,6.81767229410146e-26,4.10714052207128e-25
"BHLHE41",1486.92137922909,1.22701491421943,0.116615883535465,10.5218506863713,6.85143955417983e-26,4.12559464097297e-25
"CCNDBP1",1054.83505146225,0.633565087259908,0.0602190068193372,10.5210152196741,6.91247066647198e-26,4.16044130693967e-25
"SEMA6A",689.276934506816,1.31500781458601,0.125034602335066,10.5171511727775,7.20182404053691e-26,4.33261470957894e-25
"FBXO46",481.846120951219,-0.762532293192737,0.0725040211354873,-10.5171034826855,7.20546922089184e-26,4.33282738029234e-25
"BCL2L12",212.664572521048,-0.967761187428868,0.0920227712887719,-10.5165403505616,7.24865062320181e-26,4.35680311201851e-25
"BRCC3",687.106762513445,-0.505896875087455,0.04810736803302,-10.5159956940529,7.29065928872663e-26,4.3800524060935e-25
"MEX3A",687.222127438636,-1.86452387804101,0.177352060567943,-10.5131221597886,7.51631868512644e-26,4.51356308632844e-25
"DHRS3",1510.85680189974,1.20897454229814,0.115011558166175,10.5117656136033,7.62524080459193e-26,4.57688302375028e-25
"PSME1",3202.96794568584,-0.66904338961216,0.0636498510605769,-10.5113111572786,7.66207950477638e-26,4.59689847408257e-25
"CTPS2",860.763833472351,-0.805224752098592,0.0766110230346296,-10.5105599716977,7.72335854558427e-26,4.63155209729047e-25
"BZW1",5367.50056044739,-0.6376295523473,0.0606671831285568,-10.5102877612783,7.74568420281829e-26,4.64282518951262e-25
"RHBDD2",1801.43714213178,-0.713841530777178,0.0679305269585905,-10.5084056128745,7.90181080296847e-26,4.73425287207437e-25
"LOC80054",86.6398138423942,1.34494558792567,0.128002981570105,10.507142657369,8.00831925172505e-26,4.7958829076641e-25
"LRG1",707.94477909057,-2.32817758027623,0.221612804532278,-10.5056094804176,8.13952999390323e-26,4.87224344291715e-25
"ACTR3",3881.16537463539,-0.627434671580832,0.0597407224148214,-10.5026294664486,8.40068824602729e-26,5.02628451738442e-25
"ERGIC1",6174.58583922279,-0.758072370507146,0.072220105262049,-10.4966943451065,8.94581525131114e-26,5.3500120923675e-25
"COPE",1810.24248587465,-0.746552829627409,0.0711245407726063,-10.496416869871,8.97214127684287e-26,5.3633195107667e-25
"USP21",575.58658087714,-0.622979945962386,0.0593554075132846,-10.4957572033004,9.03503716164278e-26,5.39846546340009e-25
"KIAA0802",231.904448976384,-1.55332225872789,0.148030369716781,-10.4932674403218,9.27638575493349e-26,5.54015724556214e-25
"PTPRS",2025.69952485554,1.21539038464247,0.115827301691358,10.4931252554004,9.29035990996617e-26,5.54598673446189e-25
"TAF4",482.093720930813,-0.541046707188196,0.0515664025338056,-10.4922329385592,9.37853578167409e-26,5.59608642312675e-25
"SEMA6D",413.081710968332,1.63927811294867,0.156249443834615,10.4914172666355,9.45986326747244e-26,5.64205619346351e-25
"LRRC61",262.571559946061,-0.932005954745512,0.088861605487687,-10.4882862472551,9.77858846888778e-26,5.82950905869428e-25
"C2orf67",409.345000278382,0.74115951947467,0.0707040164399823,10.4825660095818,1.03886131403507e-25,6.19037187715875e-25
"C21orf59",793.844080840129,-0.69758521576988,0.0665550988480867,-10.481318904839,1.05265359172996e-25,6.26971910766584e-25
"LPPR4",95.6374005725171,1.24972636686973,0.119246886881375,10.4801592691718,1.06564128245829e-25,6.34420452329193e-25
"BCL3",938.9565493513,-1.0162836262527,0.0969788195178291,-10.4794390291157,1.07378765311549e-25,6.38981323596706e-25
"FHOD3",424.667909186841,1.32978426172734,0.126921025576234,10.4772574574621,1.09884111837864e-25,6.53594470909083e-25
"NECAB3",556.155569598016,-1.12993383552329,0.107847963374693,-10.4770994292919,1.10067827681303e-25,6.54391515704153e-25
"TTYH3",1572.72335124348,-1.0996180883651,0.104961614957427,-10.4763830931061,1.10904430198188e-25,6.59067726726299e-25
"XG",188.860760599434,1.97665098724272,0.188678620404898,10.476284928313,1.11019565894442e-25,6.594542174497e-25
"TIGIT",70.1268680539107,-2.17443339572178,0.207630132422136,-10.4726292390977,1.15392658542002e-25,6.85121138650598e-25
"ALG6",357.894747051638,-0.682858527315471,0.0652147418179826,-10.4709228048677,1.17491999536041e-25,6.97271050447658e-25
"RSPH1",109.944107013366,-1.90224140677203,0.181688188694409,-10.469813257765,1.1887728331367e-25,7.05174258791274e-25
"EPHA4",343.184537746552,1.1585836648166,0.110666991694777,10.4690987536013,1.19777906980726e-25,7.10196661976259e-25
"SEC61A2",139.285480171085,-0.844704150566356,0.080697113059915,-10.4675882263494,1.21704228534834e-25,7.21293453491228e-25
"FAM40B",45.2403263568182,-1.48601861149555,0.141976192284338,-10.4666746416151,1.22884158726238e-25,7.27958677458805e-25
"KIAA0467",1038.97238357217,0.531984636495982,0.0508324915964549,10.465444832397,1.24490426861273e-25,7.37142370119182e-25
"NIPSNAP1",1430.53412070516,-0.895857162593244,0.0856200535824612,-10.4631698429205,1.27516862818879e-25,7.54723230793574e-25
"C19orf10",1313.28087676411,-0.748383323334052,0.0715407350408345,-10.4609398115198,1.30554237086745e-25,7.72352998999024e-25
"MECOM",411.53383095431,1.15513607121684,0.110438153256939,10.4595743151315,1.32449368917294e-25,7.83212508112461e-25
"GOLPH3L",1450.03086931057,-0.810402661224496,0.0774849112173261,-10.4588448059457,1.33472981019088e-25,7.88911023419066e-25
"ZNF559",339.73386432009,0.774297522159502,0.0740389116943181,10.4579808703337,1.34695358438821e-25,7.95778726719121e-25
"DNAJC14",1295.64265498433,-0.415239035133311,0.0397200134266985,-10.4541514292188,1.40248569197578e-25,8.28215305674169e-25
"SHISA9",133.9505022333,-2.25380144202069,0.215657364464839,-10.4508438541553,1.45227235587545e-25,8.57231435891861e-25
"HMGB2",2060.58715492134,-0.96639702064168,0.092472022239424,-10.4506962996822,1.45453374799952e-25,8.58181430968971e-25
"MOGS",1161.43131448571,-0.56127961932298,0.0537173895030455,-10.448750851736,1.4846776873792e-25,8.75574032212026e-25
"HELQ",261.049408950051,0.491448179508574,0.0470517727054839,10.4448387648378,1.54718071574794e-25,9.12025963340358e-25
"BCAS1",546.736585375414,-2.39068598131195,0.228996816228691,-10.4398219184168,1.63116412955491e-25,9.61101765323693e-25
"AP4M1",375.260670600859,-0.54067529392206,0.0517971827902365,-10.4383146881103,1.65726702918007e-25,9.76045006939472e-25
"EPN3",533.116638531629,-1.83073319746618,0.175404383374016,-10.4372146365493,1.67657914949307e-25,9.86977251555332e-25
"YIPF2",905.349375881177,-0.659128629073343,0.0631795511311329,-10.4326260201704,1.75956980585328e-25,1.03536957328774e-24
"VEGFB",1956.38094643248,1.16696367753921,0.111906373974225,10.4280358311671,1.84666051355106e-25,1.0861301313616e-24
"VOPP1",1090.95632104153,-0.797931988616901,0.0765221249825892,-10.4274677264706,1.85773212481322e-25,1.09215399548533e-24
"TRIM35",427.996229333563,0.540602344846208,0.0518476434880318,10.4267486133868,1.87184107336764e-25,1.09995732360438e-24
"SEMA7A",135.535808108484,-1.21753268619687,0.116793566015453,-10.4246554646322,1.91351574888065e-25,1.1239450157303e-24
"GPR137C",58.7276485620511,-1.29067121094209,0.123857729207024,-10.4205948163701,1.99700310019576e-25,1.17245993790708e-24
"MST1R",299.912466651169,-1.41736534364551,0.136016604768978,-10.4205317141454,1.99832857051631e-25,1.17271506793162e-24
"OSR1",335.795522336462,2.20823301503378,0.211932837206069,10.4194944216532,2.02024241429367e-25,1.18504683152173e-24
"PCDHGB6",107.027667335413,1.47726805935371,0.141790024330628,10.4187023475572,2.03713598087567e-25,1.19442409426576e-24
"KRT8",16742.9059160337,-1.64420169495313,0.157847108404708,-10.416419480663,2.08661277153071e-25,1.22288886516735e-24
"SNN",1240.75689094206,0.901193435723358,0.0865552258369632,10.4117738358266,2.19100530773013e-25,1.28349812486211e-24
"BAT5",924.792782639647,-0.538990798196322,0.0517705064400694,-10.4111556030511,2.20528229055064e-25,1.29128695687358e-24
"FAM162A",964.361994339057,-0.810780711083779,0.077884678685725,-10.4100154839874,2.23185351406422e-25,1.30626446445653e-24
"SAMD10",162.400197578925,-1.04904485975156,0.100808285909785,-10.4063356527099,2.31979785284761e-25,1.35713329497925e-24
"ADAMTS6",57.8750923812004,-1.39952474242392,0.13453422186681,-10.4027415701669,2.40900584156338e-25,1.40869586372718e-24
